STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFG,Afghanistan,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,597.8,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DZA,Algeria,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AND,Andorra,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ATG,Antigua and Barbuda,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,25.00427688712097,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARG,Argentina,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,86.34365858988221,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,182.16,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ABW,Aruba,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,1.0837988826815643,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,518.3340528708127,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AZE,Azerbaijan,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,57.132,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHS,"Bahamas, The",WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_KNOMAD_MRI,Remittance inflows (US$ million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD_CUR,US dollars,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,0.0,WB_KNOMAD,The Global Knowledge Partnership on Migration and Development (KNOMAD) database,6,Millions,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
